tweet_id,rt_count,f_count
666020888022790149,444,2345
666029285002620928,41,118
666033412701032449,39,107
666044226329800704,122,260
666049248165822465,38,94
666050758794694657,51,119
666051853826850816,743,1087
666055525042405380,211,398
666057090499244032,118,263
666058600524156928,50,103
666063827256086533,190,433
666071193221509120,52,134
666073100786774016,140,282
666082916733198337,41,101
666094000022159362,66,152
666099513787052032,57,140
666102155909144576,11,69
666104133288665088,5749,13180
666268910803644416,32,93
666273097616637952,70,156
666293911632134144,308,450
666337882303524864,81,174
666345417576210432,128,266
666353288456101888,63,192
666362758909284353,496,694
666373753744588802,76,168
666396247373291520,72,153
666407126856765440,31,98
666411507551481857,285,392
666418789513326592,40,110
666421158376562688,97,291
666428276349472768,72,149
666430724426358785,172,288
666435652385423360,45,147
666437273139982337,42,110
666447344410484738,18,94
666454714377183233,192,468
666644823164719104,73,217
666649482315059201,566,1027
666691418707132416,44,170
666701168228331520,194,390
666739327293083650,60,218
666776908487630848,155,319
666781792255496192,174,354
666786068205871104,437,687
666804364988780544,84,216
666817836334096384,230,471
666826780179869698,82,237
673919437611909120,343,1102
673956914389192708,884,1830
674008982932058114,327,1127
674014384960745472,591,1465
674019345211760640,283,1064
674024893172875264,1136,1664
674036086168010753,189,804
674038233588723717,394,1033
674042553264685056,116,677
674045139690631169,595,1320
674051556661161984,456,1362
674053186244734976,1195,3093
674063288070742018,2017,5967
674075285688614912,261,934
674082852460433408,151,718
674255168825880576,499,1370
674262580978937856,419,1236
674265582246694913,779,1526
674269164442398721,213,858
674271431610523648,678,1459
674291837063053312,5423,13751
674318007229923329,479,1324
674372068062928900,294,800
674394782723014656,525,1413
674410619106390016,425,1134
674416750885273600,126,649
674422304705744896,498,1345
674436901579923456,360,1039
674447403907457024,333,999
674468880899788800,1884,5856
674632714662858753,533,1409
674638615994089473,543,1583
674644256330530816,254,973
674646392044941312,451,1351
674664755118911488,224,858
674670581682434048,602,1512
674690135443775488,438,1072
674737130913071104,81,606
674739953134403584,357,1029
674743008475090944,503,1308
674752233200820224,426,1368
674764817387900928,217,744
674767892831932416,726,1704
674774481756377088,436,1035
674781762103414784,1108,1886
674788554665512960,194,760
674790488185167872,231,1036
674800520222154752,794,2829
674805413498527744,333,805
675003128568291329,429,1466
675006312288268288,208,919
675015141583413248,1100,2534
675047298674663426,297,992
675109292475830276,1050,2633
675111688094527488,232,901
675113801096802304,731,1829
675135153782571009,440,1222
675145476954566656,834,2013
675146535592706048,272,1112
675147105808306176,216,886
675149409102012420,1581,3510
675153376133427200,2396,5872
675166823650848770,1469,3334
675334060156301312,1203,2605
675354435921575936,15643,30641
675362609739206656,211,998
675372240448454658,488,1595
675432746517426176,534,1430
675483430902214656,906,1737
675489971617296384,556,1215
675497103322386432,1207,2958
675501075957489664,5483,16207
675517828909424640,436,1220
675522403582218240,266,980
675531475945709568,358,1119
675534494439489536,382,1742
675706639471788032,87,615
675710890956750848,763,1774
675740360753160193,317,1110
675781562965868544,438,1533
675798442703122432,3209,9693
675820929667219457,223,990
675822767435051008,505,1438
675845657354215424,818,2145
675878199931371520,1313,3948
675888385639251968,889,2246
675891555769696257,804,2011
675898130735476737,531,1528
676089483918516224,410,1241
676098748976615425,1318,2828
676101918813499392,1099,2680
676146341966438401,626,1819
676191832485810177,971,2148
676215927814406144,540,1643
676219687039057920,29184,72545
676237365392908289,265,1146
676263575653122048,507,1983
676430933382295552,319,1329
676440007570247681,620,1637
676470639084101634,4405,11036
676496375194980353,501,1447
676533798876651520,519,1783
676575501977128964,1052,2440
676582956622721024,256,1128
676588346097852417,736,2192
676603393314578432,360,1104
676606785097199616,409,1807
676613908052996102,187,1032
676617503762681856,899,2730
676776431406465024,1908,4746
676811746707918848,405,1358
676819651066732545,624,1731
676821958043033607,14600,21708
676864501615042560,662,1984
676897532954456065,686,2134
676936541936185344,4671,12105
676942428000112642,703,1967
676946864479084545,344,1647
676948236477857792,812,2052
676949632774234114,372,1246
676957860086095872,768,2129
676975532580409345,1010,2635
677187300187611136,859,2592
677228873407442944,1549,3378
677269281705472000,669,1878
677301033169788928,382,1170
677314812125323265,504,1572
677328882937298944,1424,3482
677331501395156992,222,1038
677334615166730240,269,1280
677530072887205888,217,1018
677547928504967168,3475,6599
677557565589463040,1091,2334
677565715327688705,434,1240
677573743309385728,658,2038
677644091929329666,763,1773
677662372920729601,894,1852
677673981332312066,1418,3167
677687604918272002,798,2380
677698403548192770,303,1174
677700003327029250,1365,3229
677895101218201600,1957,4592
677918531514703872,385,1275
678021115718029313,5966,12960
678255464182861824,348,1515
678278586130948096,5777,10912
678334497360859136,236,1238
678341075375947776,506,1647
678380236862578688,852,2318
678389028614488064,401,1775
678396796259975168,396,1522
678399652199309312,30137,76548
678410210315247616,1706,4009
678424312106393600,2413,5220
678446151570427904,1452,3824
678643457146150913,383,1964
678675843183484930,1387,2730
678740035362037760,1573,3583
678755239630127104,3100,6769
678764513869611008,443,1555
678767140346941444,1291,3372
678774928607469569,858,2689
678798276842360832,1096,3311
678800283649069056,855,2463
678969228704284672,433,1563
678991772295516161,1095,2180
679047485189439488,627,2152
679062614270468097,7647,16221
679111216690831360,2455,5701
679132435750195208,1101,2854
679148763231985668,972,2674
679158373988876288,7639,20373
679462823135686656,17845,30190
679475951516934144,611,2009
679503373272485890,1398,3038
679511351870550016,1201,3234
679527802031484928,687,2532
679530280114372609,1979,4573
679722016581222400,448,1599
679729593985699840,789,2078
679736210798047232,752,2006
679777920601223168,1045,2993
679828447187857408,13345,34736
679844490799091713,723,2278
679854723806179328,1166,2745
679862121895714818,590,2367
679877062409191424,620,1899
680070545539371008,819,2489
680085611152338944,8578,12319
680100725817409536,1309,3456
680115823365742593,864,2616
680130881361686529,897,2207
680145970311643136,1666,3466
680161097740095489,703,2239
680176173301628928,1472,3742
680191257256136705,478,2075
680206703334408192,1108,2721
680221482581123072,281,1421
680440374763077632,477,1402
680473011644985345,720,2450
680494726643068929,463,1659
680497766108381184,1820,4076
680583894916304897,1266,3486
680609293079592961,664,2523
680798457301471234,988,2740
680801747103793152,781,2292
680836378243002368,1257,3323
680889648562991104,352,1699
680913438424612864,591,2321
680934982542561280,415,2012
680940246314430465,993,3068
680959110691590145,1915,4416
680970795137544192,623,2322
681193455364796417,1405,3556
681231109724700672,464,2323
681242418453299201,502,1430
681261549936340994,254,1405
681281657291280384,1051,3110
681297372102656000,906,3090
681302363064414209,1732,3776
681320187870711809,707,2544
681339448655802368,3905,8943
681523177663676416,5486,13740
681579835668455424,1241,3411
681610798867845120,444,1824
681654059175129088,871,2527
681679526984871937,421,1697
681694085539872773,3871,12324
681891461017812993,779,2383
681981167097122816,988,2702
682003177596559360,1449,3001
682032003584274432,1898,6330
682047327939461121,898,3073
682059653698686977,1599,4748
682242692827447297,1096,3108
682259524040966145,1140,3985
682303737705140231,932,2949
682389078323662849,448,1605
682393905736888321,637,2158
682406705142087680,1676,7281
682429480204398592,1103,3315
682638830361513985,564,1989
682662431982772225,1032,2940
682697186228989953,349,1265
682750546109968385,418,1461
682788441537560576,1064,2392
683030066213818368,713,2087
683078886620553216,546,1929
683098815881154561,627,2095
683111407806746624,874,3279
683142553609318400,993,2762
683357973142474752,875,2789
683391852557561860,2295,7359
683449695444799489,1541,3738
683462770029932544,645,2337
683481228088049664,957,2572
683498322573824003,925,3059
683742671509258241,3172,6234
683773439333797890,1289,3227
683828599284170753,1013,2700
683834909291606017,1074,2533
683849932751646720,912,2521
683852578183077888,331,1875
683857920510050305,1074,3672
684097758874210310,1378,3963
684122891630342144,449,1930
684177701129875456,632,1949
684188786104872960,1113,3371
684195085588783105,487,1838
684200372118904832,997,2076
684241637099323392,3130,7824
684460069371654144,537,1906
684481074559381504,1124,3736
684567543613382656,1160,2900
684594889858887680,3353,8560
684800227459624960,956,2630
684880619965411328,771,2007
684902183876321280,506,1800
684914660081053696,1395,3373
684926975086034944,446,3364
684940049151070208,998,3089
684959798585110529,2995,6566
685169283572338688,1369,3967
685198997565345792,641,2251
685268753634967552,1146,2986
685307451701334016,420,2006
685315239903100929,1001,3172
685321586178670592,602,2553
685325112850124800,3792,9093
685532292383666176,1107,2926
685547936038666240,14918,31714
685641971164143616,740,2815
685663452032069632,1394,3109
685667379192414208,543,2274
685906723014619143,2741,7217
685943807276412928,566,1572
685973236358713344,497,2024
686003207160610816,594,1765
686007916130873345,392,2394
686034024800862208,1096,2964
686050296934563840,699,2147
686358356425093120,635,2098
686377065986265092,545,2138
686386521809772549,848,3150
686606069955735556,523,1822
686618349602762752,1305,3566
686683045143953408,770,2727
686730991906516992,1150,3995
686749460672679938,1389,3357
686947101016735744,3063,8333
687096057537363968,582,2159
687102708889812993,931,2267
687109925361856513,2354,5613
687124485711986689,486,2111
687127927494963200,2169,5235
687312378585812992,1823,4211
687317306314240000,8785,19441
687460506001633280,521,1992
687476254459715584,512,1918
687480748861947905,229,1551
687494652870668288,554,1835
687664829264453632,490,1876
687704180304273409,806,2354
687807801670897665,686,2303
687818504314159109,915,2397
687826841265172480,1077,2661
688064179421470721,347,1675
688116655151435777,742,2727
688179443353796608,561,2063
688211956440801280,793,2166
688385280030670848,4283,8943
688519176466644993,702,2242
688547210804498433,668,2500
688789766343622656,634,2144
688804835492233216,182,931
688828561667567616,351,1337
688894073864884227,656,2170
688898160958271489,749,2025
688908934925697024,734,2039
688916208532455424,825,2620
689143371370250240,483,1957
689154315265683456,951,2980
689275259254616065,235,1104
689280876073582592,677,1917
689283819090870273,1057,3149
689289219123089408,892,2177
689517482558820352,1373,3281
689557536375177216,436,1984
689599056876867584,5276,11240
689623661272240129,619,2151
689659372465688576,3681,10003
689661964914655233,898,3122
689835978131935233,721,2102
689877686181715968,1111,2934
689905486972461056,669,2369
689977555533848577,430,1328
689999384604450816,353,1364
690005060500217858,1615,3541
690015576308211712,702,2399
690021994562220032,983,2705
690248561355657216,394,1626
690360449368465409,842,2572
690374419777196032,807,3135
690400367696297985,431,1823
690597161306841088,580,1882
690649993829576704,262,1254
690690673629138944,788,2244
690728923253055490,496,2101
690735892932222976,1221,3655
690932576555528194,976,3172
690938899477221376,1871,3950
690959652130045952,1196,3451
691090071332753408,320,1667
691096613310316544,846,2871
691321916024623104,632,2489
691416866452082688,7314,18648
691444869282295808,809,2546
691459709405118465,1089,3905
691483041324204033,537,2311
691675652215414786,487,1889
691756958957883396,948,2738
691820333922455552,1582,3823
692017291282812928,912,2786
692158366030913536,756,2072
692187005137076224,783,2451
692417313023332352,3312,9031
692530551048294401,395,1772
692535307825213440,1301,3044
692568918515392513,1472,4210
692752401762250755,3497,6574
692828166163931137,857,2777
692894228850999298,760,2186
692901601640583168,576,1699
692905862751522816,839,2349
692919143163629568,728,2592
693095443459342336,435,1797
693109034023534592,582,1648
693155686491000832,3074,7607
693231807727280129,712,2774
693262851218264065,475,2135
693280720173801472,1192,3235
693486665285931008,605,1706
693590843962331137,1872,4862
693622659251335168,357,1477
693629975228977152,763,2359
693642232151285760,397,2459
693647888581312512,560,2595
693942351086120961,351,1690
694001791655137281,981,3283
694183373896572928,893,2843
694206574471057408,1953,4013
694329668942569472,482,1929
694352839993344000,586,1965
694669722378485760,13745,34521
694905863685980160,896,2656
695051054296211456,765,2564
695064344191721472,564,1543
695074328191332352,1053,2743
695095422348574720,589,2552
695314793360662529,1392,3497
695409464418041856,3435,8368
695446424020918272,1743,4258
695629776980148225,2007,4407
695794761660297217,739,3055
695816827381944320,1105,2907
696405997980676096,1113,3090
696488710901260288,984,2426
696713835009417216,621,2291
696754882863349760,347,1431
696877980375769088,685,2365
696886256886657024,1719,4674
696894894812565505,652,2258
696900204696625153,982,3063
697242256848379904,643,2441
697255105972801536,1108,2963
697259378236399616,962,3182
697270446429966336,1808,4546
697482927769255936,640,2340
697575480820686848,482,1972
697596423848730625,1210,2903
697616773278015490,970,3039
697881462549430272,1112,2909
697943111201378304,646,2308
697990423684476929,1236,3172
697995514407682048,324,1467
698178924120031232,710,2725
698195409219559425,5719,16164
698262614669991936,1913,4609
698342080612007937,925,2188
698355670425473025,427,1787
698549713696649216,597,2241
698635131305795584,328,1256
698703483621523456,359,1400
698710712454139905,652,2385
698907974262222848,594,2448
698953797952008193,875,2589
698989035503689728,930,3224
699036661657767936,1153,2519
699072405256409088,1141,2865
699079609774645248,619,2363
699088579889332224,598,2174
699323444782047232,831,3045
699370870310113280,418,1830
699413908797464576,598,2018
699423671849451520,309,1314
699434518667751424,493,2100
699446877801091073,2514,5739
699691744225525762,4403,9923
699775878809702401,581,1891
699779630832685056,1188,2632
699788877217865730,491,2157
699801817392291840,911,2936
700002074055016451,1283,3193
700029284593901568,562,2007
700062718104104960,657,2554
700143752053182464,2599,7243
700151421916807169,643,2171
700167517596164096,700,2547
700462010979500032,1707,3976
700505138482569216,547,2211
700518061187723268,765,2519
700747788515020802,8880,21959
700796979434098688,899,2349
700847567345688576,481,2372
700864154249383937,599,2509
700890391244103680,543,2141
701214700881756160,4874,11765
701545186879471618,585,2573
701570477911896070,890,2718
701601587219795968,434,2023
701889187134500865,1332,3418
701952816642965504,983,3707
701981390485725185,943,3324
702217446468493312,1287,4614
702276748847800320,737,2382
702321140488925184,1007,3163
702539513671897089,918,2781
702598099714314240,3295,11798
702671118226825216,537,2119
702684942141153280,1025,3117
702932127499816960,689,2492
703041949650034688,11910,25356
703079050210877440,2955,7116
703268521220972544,520,1914
703356393781329922,369,1844
703382836347330562,1098,3381
703407252292673536,664,2354
703611486317502464,1461,3705
703631701117943808,640,2483
703769065844768768,1094,3152
703774238772166656,436,1779
704113298707505153,549,1789
704347321748819968,334,1521
704364645503647744,3403,7695
704480331685040129,1029,3271
704499785726889984,963,2801
704761120771465216,2791,6386
704819833553219584,939,2545
704847917308362754,1455,4884
704859558691414016,508,2170
705066031337840642,589,2114
705102439679201280,495,2066
705223444686888960,768,2496
705239209544720384,723,2891
705428427625635840,1599,3666
705442520700944385,1545,4243
705475953783398401,877,2856
705591895322394625,1101,3059
705898680587526145,527,2292
705970349788291072,856,3068
705975130514706432,698,2991
706166467411222528,1531,4967
706265994973601792,896,2640
706291001778950144,459,1648
706310011488698368,7565,20480
706346369204748288,889,3329
706516534877929472,986,3008
706538006853918722,1372,3355
706593038911545345,606,2079
706644897839910912,1047,2474
706681918348251136,939,3186
706901761596989440,559,1972
707014260413456384,574,2232
707021089608753152,1295,3943
707038192327901184,755,2109
707059547140169728,649,2499
707297311098011648,748,2689
707315916783140866,609,2385
707377100785885184,1038,3150
707387676719185920,1219,3361
707411934438625280,573,2220
707420581654872064,665,2174
707610948723478529,6067,16348
707693576495472641,953,3267
707741517457260545,586,2410
707776935007539200,918,3161
707969809498152960,919,2584
707995814724026368,1081,3013
708026248782585858,1841,4237
708109389455101952,533,1883
708119489313951744,937,2586
708130923141795840,821,3257
708149363256774660,1490,4143
708349470027751425,707,2265
708356463048204288,1260,3451
708469915515297792,783,2990
708479650088034305,647,2446
708711088997666817,686,2442
708738143638450176,780,2663
708810915978854401,6599,15858
708834316713893888,479,1624
708845821941387268,855,2872
